,Name,Year span,Genre,Run time,Ratings,Votes
0,Juego de tronos,(2011–2019),"Action, Adventure, Drama",57 min,"9,2",2.193.972
1,Stranger Things,(2016–2024),"Drama, Fantasy, Horror",51 min,"8,7",1.267.622
2,The Walking Dead,(2010–2022),"Drama, Horror, Thriller",44 min,"8,1",1.041.373
3,Por trece razones,(2017–2020),"Drama, Mystery, Thriller",60 min,"7,5",306.079
4,Los 100,(2014–2020),"Drama, Mystery, Sci-Fi",43 min,"7,6",265.151
5,Orange Is the New Black,(2013–2019),"Comedy, Crime, Drama",59 min,"8,1",312.769
6,Riverdale,(2017–2023),"Crime, Drama, Mystery",45 min,"6,5",150.644
7,Anatomía de Grey,(2005– ),"Drama, Romance",41 min,"7,6",326.859
8,The Flash,(2014–2023),"Action, Adventure, Drama",43 min,"7,5",362.138
9,Arrow,(2012–2020),"Action, Adventure, Crime",42 min,"7,5",440.302
10,La casa de papel,(2017–2021),"Action, Crime, Drama",70 min,"8,2",504.984
11,Big Bang,(2007–2019),"Comedy, Romance",22 min,"8,2",837.860
12,Black Mirror,(2011– ),"Drama, Mystery, Sci-Fi",60 min,"8,7",606.608
13,Sherlock,(2010–2017),"Crime, Drama, Mystery",88 min,"9,1",962.823
14,Vikingos,(2013–2020),"Action, Adventure, Drama",44 min,"8,5",559.039
15,Pequeñas mentirosas,(2010–2017),"Drama, Mystery, Romance",44 min,"7,4",173.783
16,Crónicas vampíricas,(2009–2017),"Drama, Fantasy, Horror",43 min,"7,7",336.304
17,American Horror Story,(2011– ),"Drama, Horror, Sci-Fi",60 min,8,330.219
18,Breaking Bad,(2008–2013),"Crime, Drama, Thriller",49 min,"9,5",2.022.598
19,Lucifer,(2016–2021),"Crime, Drama, Fantasy",42 min,"8,1",341.262
20,Sobrenatural,(2005–2020),"Drama, Fantasy, Horror",44 min,"8,4",464.834
21,Prison Break,(2005–2017),"Action, Crime, Drama",44 min,"8,3",559.532
22,Cómo defender a un asesino,(2014–2020),"Crime, Drama, Mystery",43 min,"8,1",159.876
23,Teen Wolf,(2011–2017),"Action, Drama, Fantasy",41 min,"7,7",158.004
24,Los Simpson,(1989– ),"Animation, Comedy",22 min,"8,7",422.546
25,Érase una vez,(2011–2018),"Adventure, Fantasy, Romance",60 min,"7,7",231.366
26,Narcos,(I) (2015–2017),"Biography, Crime, Drama",49 min,"8,8",449.649
27,Daredevil,(2015–2018),"Action, Crime, Drama",54 min,"8,6",458.969
28,Friends,(1994–2004),"Comedy, Romance",22 min,"8,9",1.040.809
29,Cómo conocí a vuestra madre,(2005–2014),"Comedy, Drama, Romance",22 min,"8,3",708.302
30,Suits: La clave del éxito,(2011–2019),"Comedy, Drama",44 min,"8,4",442.327
31,Mr. Robot,(2015–2019),"Crime, Drama, Thriller",49 min,"8,5",403.973
32,Los originales,(2013–2018),"Drama, Fantasy, Horror",45 min,"8,3",142.637
33,Supergirl,(2015–2021),"Action, Adventure, Drama",43 min,"6,2",127.514
34,Gossip Girl,(2007–2012),"Drama, Romance",42 min,"7,5",184.315
35,Sense8,(2015–2018),"Drama, Mystery, Sci-Fi",60 min,"8,2",159.206
36,Gotham,(2014–2019),"Action, Crime, Drama",42 min,"7,8",236.530
37,Westworld,(2016–2022),"Drama, Mystery, Sci-Fi",62 min,"8,5",519.556
38,Jessica Jones,(2015–2019),"Action, Crime, Drama",56 min,"7,9",221.273
39,Modern Family,(2009–2020),"Comedy, Drama, Romance",22 min,"8,5",458.832
40,Rick y Morty,(2013– ),"Animation, Adventure, Comedy",23 min,"9,1",563.719
41,Shadowhunters: The Mortal Instruments,(2016–2019),"Action, Drama, Fantasy",42 min,"6,5",67.641
42,The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime",25 min,8,207.773
43,House of Cards,(2013–2018),Drama,51 min,"8,7",518.998
44,Dark,(2017–2020),"Crime, Drama, Mystery",60 min,"8,7",417.830
45,Élite,(2018– ),"Crime, Drama, Thriller",60 min,"7,3",86.061
46,Sex Education,(2019–2023),"Comedy, Drama",45 min,"8,3",309.152
47,Shameless,(2011–2021),"Comedy, Drama",46 min,"8,6",262.093
48,New Girl,(2011–2018),"Comedy, Romance",22 min,"7,8",236.872
49,Agentes de S.H.I.E.L.D.,(2013–2020),"Action, Adventure, Drama",45 min,"7,5",222.287
50,You,(2018–2024),"Crime, Drama, Romance",45 min,"7,7",283.202
51,Dexter,(2006–2013),"Crime, Drama, Mystery",53 min,"8,7",744.848
52,Fear the Walking Dead,(2015–2023),"Drama, Horror, Sci-Fi",44 min,"6,8",137.403
53,Padre de familia,(1999– ),"Animation, Comedy",22 min,"8,2",354.042
54,The Blacklist,(2013–2023),"Crime, Drama, Mystery",43 min,8,269.461
55,Perdidos,(2004–2010),"Adventure, Drama, Fantasy",44 min,"8,3",575.134
56,Peaky Blinders,(2013–2022),"Crime, Drama",60 min,"8,8",599.672
57,House,(2004–2012),"Drama, Mystery",44 min,"8,7",487.189
58,Quantico,(2015–2018),"Crime, Drama, Mystery",42 min,"6,7",62.705
59,Orphan Black,(2013–2017),"Drama, Sci-Fi, Thriller",44 min,"8,3",114.309
60,Homeland,(2011–2020),"Crime, Drama, Mystery",55 min,"8,3",352.445
61,Blindspot,(2015–2020),"Action, Crime, Drama",42 min,"7,3",77.042
62,DC's Legends of Tomorrow,(2016–2022),"Action, Adventure, Drama",42 min,"6,8",108.163
63,El cuento de la criada,(2017– ),"Drama, Sci-Fi, Thriller",60 min,"8,4",249.267
64,Las escalofriantes aventuras de Sabrina,(2018–2020),"Drama, Fantasy, Horror",60 min,"7,4",102.789
65,The Good Doctor,(2017– ),Drama,41 min,8,106.425
66,Jane the Virgin,(2014–2019),Comedy,60 min,"7,9",55.736
67,Glee,(2009–2015),"Comedy, Drama, Music",44 min,"6,8",152.717
68,South Park,(1997– ),"Animation, Comedy",22 min,"8,7",393.180
69,Brooklyn Nine-Nine,(2013–2021),"Comedy, Crime",22 min,"8,4",340.026
70,La cúpula,(2013–2015),"Drama, Mystery, Sci-Fi",43 min,"6,5",109.973
71,The Umbrella Academy,(2019–2023),"Action, Adventure, Comedy",60 min,"7,9",262.037
72,True Detective,(2014– ),"Crime, Drama, Mystery",55 min,"8,9",605.165
73,The OA,(2016–2019),"Drama, Fantasy, Mystery",60 min,"7,8",110.073
74,Mujeres desesperadas,(2004–2012),"Comedy, Drama, Mystery",45 min,"7,6",134.667
75,Better Call Saul,(2015–2022),"Crime, Drama",46 min,9,597.683
76,Bates Motel,(2013–2017),"Drama, Horror, Mystery",45 min,"8,1",113.137
77,The Punisher,(2017–2019),"Action, Crime, Drama",53 min,"8,5",252.424
78,Atípico,(2017–2021),"Comedy, Drama",30 min,"8,2",98.114
79,Dinastía,(2017–2022),Drama,42 min,"7,3",24.061
80,This Is Us,(2016–2022),"Comedy, Drama, Romance",45 min,"8,7",151.618
81,The Good Place,(2016–2020),"Comedy, Drama, Fantasy",22 min,"8,2",176.833
82,Iron Fist,(2017–2018),"Action, Adventure, Crime",55 min,"6,4",136.067
83,The Rain,(2018–2020),"Drama, Sci-Fi, Thriller",45 min,"6,3",39.903
84,Mindhunter,(2017–2019),"Crime, Drama, Mystery",60 min,"8,6",312.800
85,Revenge,(2011–2015),"Drama, Mystery, Thriller",44 min,"7,8",122.818
86,Luke Cage,(2016–2018),"Action, Crime, Drama",55 min,"7,3",136.142
87,Scandal,(2012–2018),"Drama, Thriller",43 min,"7,7",77.503
88,The Defenders,(2017),"Action, Adventure, Crime",50 min,"7,2",112.958
89,Big Little Lies,(2017–2019),"Crime, Drama, Mystery",60 min,"8,5",213.868
90,Insatiable,(2018–2019),"Comedy, Drama, Thriller",45 min,"6,5",31.114
91,El mentalista,(2008–2015),"Crime, Drama, Mystery",43 min,"8,2",193.365
92,The Crown,(2016–2023),"Biography, Drama, History",58 min,"8,6",233.190
93,Chernobyl,(2019),"Drama, History, Thriller",330 min,"9,4",815.193
94,iZombie,(2015–2019),"Comedy, Crime, Drama",42 min,"7,8",71.777
95,Reign,(2013–2017),Drama,42 min,"7,5",52.464
96,Una serie de catastróficas desdichas,(2017–2019),"Adventure, Comedy, Drama",50 min,"7,8",64.483
97,Mentes criminales,(2005– ),"Crime, Drama, Mystery",42 min,"8,1",210.175
98,Scream,(2015–2019),"Comedy, Crime, Drama",45 min,7,43.698
99,La maldición de Hill House,(2018),"Drama, Horror, Mystery",572 min,"8,6",263.814
